SurveyID,CallID,CSAT_Score,FeedbackText
20634,5634,4,"Quick and easy, thanks!"
20636,5636,4,"Quick and easy, thanks!"
20638,5638,4,"Quick and easy, thanks!"
20639,5639,4,"Quick and easy, thanks!"
20641,5641,5,"Quick and easy, thanks!"
20644,5644,3,Wait time was unacceptable.
20646,5646,2,Wait time was unacceptable.
20648,5648,1,Issue not resolved after a long conversation.
20657,5657,2,Wait time was unacceptable.
20661,5661,4,"Quick and easy, thanks!"
20665,5665,2,Wait time was unacceptable.
20666,5666,2,Wait time was unacceptable.
20670,5670,5,"Quick and easy, thanks!"
20671,5671,4,"Quick and easy, thanks!"
20672,5672,5,"Quick and easy, thanks!"
20676,5676,1,Issue not resolved after a long conversation.
20678,5678,5,"Quick and easy, thanks!"
20679,5679,5,"Quick and easy, thanks!"
20680,5680,2,Issue not resolved after a long conversation.
20681,5681,2,Issue not resolved after a long conversation.
20682,5682,2,Issue not resolved after a long conversation.
20686,5686,5,"Quick and easy, thanks!"
20690,5690,4,"Quick and easy, thanks!"
20691,5691,4,"Quick and easy, thanks!"
20692,5692,5,"Quick and easy, thanks!"
20693,5693,5,"Quick and easy, thanks!"
20696,5696,5,"Quick and easy, thanks!"
20698,5698,4,"Quick and easy, thanks!"
20701,5701,5,"Quick and easy, thanks!"
20704,5704,4,"Quick and easy, thanks!"
20705,5705,4,"Quick and easy, thanks!"
20708,5708,1,Issue not resolved after a long conversation.
20711,5711,4,"Quick and easy, thanks!"
20712,5712,4,"Quick and easy, thanks!"
20714,5714,2,Wait time was unacceptable.
20717,5717,1,Issue not resolved after a long conversation.
20719,5719,2,Issue not resolved after a long conversation.
20721,5721,5,"Quick and easy, thanks!"
20723,5723,3,Wait time was unacceptable.
20726,5726,2,Issue not resolved after a long conversation.
20729,5729,1,Issue not resolved after a long conversation.
20731,5731,3,Wait time was unacceptable.
20732,5732,5,"Quick and easy, thanks!"
20733,5733,2,Issue not resolved after a long conversation.
20734,5734,2,Wait time was unacceptable.
20735,5735,3,Wait time was unacceptable.
20741,5741,2,Issue not resolved after a long conversation.
20742,5742,3,Wait time was unacceptable.
20743,5743,3,Wait time was unacceptable.
20745,5745,1,Issue not resolved after a long conversation.
20748,5748,4,"Quick and easy, thanks!"
20749,5749,4,"Quick and easy, thanks!"
20752,5752,5,"Quick and easy, thanks!"
20753,5753,2,Wait time was unacceptable.
20754,5754,3,The new account update process is confusing. Agent tried their best.
20755,5755,1,Issue not resolved after a long conversation.
20761,5761,2,Wait time was unacceptable.
20763,5763,2,Wait time was unacceptable.
20764,5764,5,"Quick and easy, thanks!"
20767,5767,5,"Quick and easy, thanks!"
20769,5769,2,Wait time was unacceptable.
20773,5773,4,"Quick and easy, thanks!"
20776,5776,3,Wait time was unacceptable.
20777,5777,1,Issue not resolved after a long conversation.
20782,5782,3,Wait time was unacceptable.
20784,5784,4,"Quick and easy, thanks!"
20785,5785,3,Wait time was unacceptable.
20793,5793,5,"Quick and easy, thanks!"
20794,5794,4,"Quick and easy, thanks!"
20798,5798,5,"Quick and easy, thanks!"
20801,5801,5,"Quick and easy, thanks!"
20804,5804,1,Issue not resolved after a long conversation.
20805,5805,5,"Quick and easy, thanks!"
20807,5807,5,"Quick and easy, thanks!"
20809,5809,4,"Quick and easy, thanks!"
20811,5811,5,"Quick and easy, thanks!"
20812,5812,2,Wait time was unacceptable.
20818,5818,4,"Quick and easy, thanks!"
20823,5823,1,Issue not resolved after a long conversation.
20827,5827,4,"Quick and easy, thanks!"
20832,5832,2,Issue not resolved after a long conversation.
20834,5834,4,"Quick and easy, thanks!"
20835,5835,2,Issue not resolved after a long conversation.
20836,5836,3,Wait time was unacceptable.
20837,5837,3,Wait time was unacceptable.
20839,5839,5,"Quick and easy, thanks!"
20841,5841,2,The new account update process is confusing. Agent tried their best.
20843,5843,2,Issue not resolved after a long conversation.
20846,5846,2,Wait time was unacceptable.
20847,5847,5,"Quick and easy, thanks!"
20851,5851,1,Issue not resolved after a long conversation.
20853,5853,4,"Quick and easy, thanks!"
20857,5857,5,"Quick and easy, thanks!"
20859,5859,4,"Quick and easy, thanks!"
20860,5860,5,"Quick and easy, thanks!"
20863,5863,1,Issue not resolved after a long conversation.
20865,5865,3,Wait time was unacceptable.
20866,5866,2,Issue not resolved after a long conversation.
20869,5869,5,"Quick and easy, thanks!"
20870,5870,2,Wait time was unacceptable.
20873,5873,3,Wait time was unacceptable.
20874,5874,4,"Quick and easy, thanks!"
20877,5877,2,Wait time was unacceptable.
20882,5882,4,"Quick and easy, thanks!"
20888,5888,5,"Quick and easy, thanks!"
20889,5889,4,"Quick and easy, thanks!"
20891,5891,1,Issue not resolved after a long conversation.
20893,5893,4,"Quick and easy, thanks!"
20895,5895,5,"Quick and easy, thanks!"
20896,5896,4,"Quick and easy, thanks!"
20898,5898,3,Wait time was unacceptable.
20902,5902,3,Wait time was unacceptable.
20903,5903,2,Wait time was unacceptable.
20904,5904,2,Wait time was unacceptable.
20906,5906,4,"Quick and easy, thanks!"
20914,5914,5,"Quick and easy, thanks!"
20916,5916,5,"Quick and easy, thanks!"
20923,5923,5,"Quick and easy, thanks!"
20924,5924,2,The new account update process is confusing. Agent tried their best.
20927,5927,5,"Quick and easy, thanks!"
20929,5929,4,"Quick and easy, thanks!"
20934,5934,4,"Quick and easy, thanks!"
20935,5935,4,"Quick and easy, thanks!"
20938,5938,4,"Quick and easy, thanks!"
20940,5940,3,Wait time was unacceptable.
20944,5944,5,"Quick and easy, thanks!"
20945,5945,5,"Quick and easy, thanks!"
20946,5946,1,Issue not resolved after a long conversation.
20947,5947,1,The new account update process is confusing. Agent tried their best.
20949,5949,1,Issue not resolved after a long conversation.
20950,5950,5,"Quick and easy, thanks!"
20951,5951,5,"Quick and easy, thanks!"
20953,5953,4,"Quick and easy, thanks!"
20955,5955,4,"Quick and easy, thanks!"
20956,5956,5,"Quick and easy, thanks!"
20959,5959,5,"Quick and easy, thanks!"
20960,5960,4,"Quick and easy, thanks!"
20964,5964,4,"Quick and easy, thanks!"
20965,5965,2,Wait time was unacceptable.
20977,5977,4,"Quick and easy, thanks!"
20979,5979,4,"Quick and easy, thanks!"
20983,5983,2,Wait time was unacceptable.
20990,5990,5,"Quick and easy, thanks!"
20992,5992,1,Issue not resolved after a long conversation.
20993,5993,3,Wait time was unacceptable.
20995,5995,4,"Quick and easy, thanks!"
21003,6003,1,The new account update process is confusing. Agent tried their best.
21011,6011,5,"Quick and easy, thanks!"
21013,6013,2,Wait time was unacceptable.
21014,6014,4,"Quick and easy, thanks!"
21023,6023,1,The new account update process is confusing. Agent tried their best.
21024,6024,5,"Quick and easy, thanks!"
21029,6029,3,Wait time was unacceptable.
21030,6030,3,Wait time was unacceptable.
21031,6031,2,Issue not resolved after a long conversation.
21035,6035,1,The new account update process is confusing. Agent tried their best.
21036,6036,5,"Quick and easy, thanks!"
21037,6037,2,Issue not resolved after a long conversation.
21041,6041,1,Issue not resolved after a long conversation.
21046,6046,2,Issue not resolved after a long conversation.
21048,6048,5,"Quick and easy, thanks!"
21049,6049,2,Issue not resolved after a long conversation.
21051,6051,5,"Quick and easy, thanks!"
21054,6054,2,Wait time was unacceptable.
21057,6057,2,Issue not resolved after a long conversation.
21058,6058,3,Wait time was unacceptable.
21059,6059,3,The new account update process is confusing. Agent tried their best.
21061,6061,4,"Quick and easy, thanks!"
21063,6063,4,"Quick and easy, thanks!"
21070,6070,2,Issue not resolved after a long conversation.
21072,6072,4,"Quick and easy, thanks!"
21074,6074,2,Issue not resolved after a long conversation.
21083,6083,5,"Quick and easy, thanks!"
21085,6085,1,Issue not resolved after a long conversation.
21086,6086,5,"Quick and easy, thanks!"
21092,6092,2,Wait time was unacceptable.
21093,6093,2,Wait time was unacceptable.
21095,6095,1,Issue not resolved after a long conversation.
21098,6098,4,"Quick and easy, thanks!"
21099,6099,2,Wait time was unacceptable.
21100,6100,2,Wait time was unacceptable.
21102,6102,5,"Quick and easy, thanks!"
21107,6107,4,"Quick and easy, thanks!"
21109,6109,2,Wait time was unacceptable.
21112,6112,1,Issue not resolved after a long conversation.
21116,6116,4,"Quick and easy, thanks!"
21119,6119,4,"Quick and easy, thanks!"
21122,6122,2,Wait time was unacceptable.
21123,6123,4,"Quick and easy, thanks!"
21124,6124,5,"Quick and easy, thanks!"
21125,6125,2,Issue not resolved after a long conversation.
21126,6126,4,"Quick and easy, thanks!"
21127,6127,2,Issue not resolved after a long conversation.
21128,6128,4,"Quick and easy, thanks!"
21133,6133,2,Wait time was unacceptable.
21134,6134,4,"Quick and easy, thanks!"
21138,6138,2,Issue not resolved after a long conversation.
21143,6143,3,Wait time was unacceptable.
21146,6146,4,"Quick and easy, thanks!"
21149,6149,1,Issue not resolved after a long conversation.
21150,6150,1,The new account update process is confusing. Agent tried their best.
21159,6159,1,Issue not resolved after a long conversation.
21162,6162,4,"Quick and easy, thanks!"
21165,6165,3,Wait time was unacceptable.
21166,6166,3,Wait time was unacceptable.
21168,6168,5,"Quick and easy, thanks!"
21193,6193,2,Issue not resolved after a long conversation.
21197,6197,5,"Quick and easy, thanks!"
21199,6199,2,Wait time was unacceptable.
21204,6204,2,Wait time was unacceptable.
21206,6206,4,"Quick and easy, thanks!"
21207,6207,5,"Quick and easy, thanks!"
21208,6208,1,Issue not resolved after a long conversation.
21212,6212,4,"Quick and easy, thanks!"
21215,6215,4,"Quick and easy, thanks!"
21216,6216,4,"Quick and easy, thanks!"
21217,6217,1,Issue not resolved after a long conversation.
21218,6218,4,"Quick and easy, thanks!"
21219,6219,5,"Quick and easy, thanks!"
21220,6220,2,Wait time was unacceptable.
21222,6222,4,"Quick and easy, thanks!"
21226,6226,4,"Quick and easy, thanks!"
21229,6229,1,Issue not resolved after a long conversation.
21230,6230,2,Wait time was unacceptable.
21232,6232,2,Wait time was unacceptable.
21233,6233,2,Issue not resolved after a long conversation.
21234,6234,2,Issue not resolved after a long conversation.
21235,6235,4,"Quick and easy, thanks!"
21237,6237,4,"Quick and easy, thanks!"
21239,6239,4,"Quick and easy, thanks!"
21240,6240,3,Wait time was unacceptable.
21241,6241,5,"Quick and easy, thanks!"
21248,6248,2,The new account update process is confusing. Agent tried their best.
21249,6249,5,"Quick and easy, thanks!"
21251,6251,4,"Quick and easy, thanks!"
21256,6256,4,"Quick and easy, thanks!"
21259,6259,5,"Quick and easy, thanks!"
21262,6262,4,"Quick and easy, thanks!"
21263,6263,5,"Quick and easy, thanks!"
21264,6264,2,Wait time was unacceptable.
21269,6269,2,Issue not resolved after a long conversation.
21272,6272,2,Issue not resolved after a long conversation.
21274,6274,4,"Quick and easy, thanks!"
21279,6279,5,"Quick and easy, thanks!"
21282,6282,2,Wait time was unacceptable.
21283,6283,3,Wait time was unacceptable.
21285,6285,2,Issue not resolved after a long conversation.
21292,6292,4,"Quick and easy, thanks!"
21293,6293,5,"Quick and easy, thanks!"
21295,6295,3,The new account update process is confusing. Agent tried their best.
21298,6298,2,Wait time was unacceptable.
21302,6302,2,Wait time was unacceptable.
21303,6303,4,"Quick and easy, thanks!"
21304,6304,2,Wait time was unacceptable.
21307,6307,3,The new account update process is confusing. Agent tried their best.
21308,6308,4,"Quick and easy, thanks!"
21312,6312,5,"Quick and easy, thanks!"
21315,6315,5,"Quick and easy, thanks!"
21316,6316,5,"Quick and easy, thanks!"
21317,6317,3,Wait time was unacceptable.
21319,6319,1,Issue not resolved after a long conversation.
21320,6320,4,"Quick and easy, thanks!"
21321,6321,4,"Quick and easy, thanks!"
21324,6324,2,Issue not resolved after a long conversation.
21326,6326,4,"Quick and easy, thanks!"
21331,6331,2,Wait time was unacceptable.
21332,6332,2,Wait time was unacceptable.
21339,6339,2,Issue not resolved after a long conversation.
21340,6340,4,"Quick and easy, thanks!"
21343,6343,3,Wait time was unacceptable.
21345,6345,3,Wait time was unacceptable.
21346,6346,5,"Quick and easy, thanks!"
21347,6347,2,Issue not resolved after a long conversation.
21349,6349,2,Wait time was unacceptable.
21351,6351,5,"Quick and easy, thanks!"
21356,6356,1,The new account update process is confusing. Agent tried their best.
21359,6359,4,"Quick and easy, thanks!"
21361,6361,4,"Quick and easy, thanks!"
21367,6367,4,"Quick and easy, thanks!"
21371,6371,3,Wait time was unacceptable.
21372,6372,1,Issue not resolved after a long conversation.
21374,6374,1,The new account update process is confusing. Agent tried their best.
21377,6377,4,"Quick and easy, thanks!"
21378,6378,5,"Quick and easy, thanks!"
21379,6379,3,Wait time was unacceptable.
21381,6381,5,"Quick and easy, thanks!"
21385,6385,2,Issue not resolved after a long conversation.
21386,6386,1,Issue not resolved after a long conversation.
21390,6390,3,The new account update process is confusing. Agent tried their best.
21395,6395,1,The new account update process is confusing. Agent tried their best.
21396,6396,1,Issue not resolved after a long conversation.
21397,6397,2,Wait time was unacceptable.
21398,6398,5,"Quick and easy, thanks!"
21400,6400,3,Wait time was unacceptable.
21401,6401,1,Issue not resolved after a long conversation.
21408,6408,2,Wait time was unacceptable.
21415,6415,5,"Quick and easy, thanks!"
21419,6419,2,Wait time was unacceptable.
21420,6420,4,"Quick and easy, thanks!"
21421,6421,2,Wait time was unacceptable.
21422,6422,4,"Quick and easy, thanks!"
21424,6424,5,"Quick and easy, thanks!"
21425,6425,2,Wait time was unacceptable.
21426,6426,2,Issue not resolved after a long conversation.
21428,6428,1,Issue not resolved after a long conversation.
21433,6433,3,Wait time was unacceptable.
21434,6434,2,The new account update process is confusing. Agent tried their best.
21436,6436,5,"Quick and easy, thanks!"
21438,6438,4,"Quick and easy, thanks!"
21440,6440,3,Wait time was unacceptable.
21443,6443,1,Issue not resolved after a long conversation.
21444,6444,3,The new account update process is confusing. Agent tried their best.
21445,6445,5,"Quick and easy, thanks!"
21447,6447,2,Wait time was unacceptable.
21448,6448,5,"Quick and easy, thanks!"
21449,6449,5,"Quick and easy, thanks!"
21451,6451,1,Issue not resolved after a long conversation.
21452,6452,4,"Quick and easy, thanks!"
21453,6453,2,Wait time was unacceptable.
21454,6454,5,"Quick and easy, thanks!"
21457,6457,5,"Quick and easy, thanks!"
21458,6458,2,Issue not resolved after a long conversation.
21460,6460,5,"Quick and easy, thanks!"
21466,6466,4,"Quick and easy, thanks!"
21470,6470,1,Issue not resolved after a long conversation.
21472,6472,4,"Quick and easy, thanks!"
21474,6474,5,"Quick and easy, thanks!"
21475,6475,5,"Quick and easy, thanks!"
21476,6476,1,Issue not resolved after a long conversation.
21479,6479,3,Wait time was unacceptable.
21480,6480,4,"Quick and easy, thanks!"
21481,6481,2,Issue not resolved after a long conversation.
21483,6483,5,"Quick and easy, thanks!"
21484,6484,4,"Quick and easy, thanks!"
21485,6485,1,Issue not resolved after a long conversation.
21487,6487,3,Wait time was unacceptable.
21489,6489,2,Issue not resolved after a long conversation.
21490,6490,4,"Quick and easy, thanks!"
21491,6491,4,"Quick and easy, thanks!"
21492,6492,3,Wait time was unacceptable.
21494,6494,5,"Quick and easy, thanks!"
21497,6497,4,"Quick and easy, thanks!"
21501,6501,5,"Quick and easy, thanks!"
21503,6503,1,Issue not resolved after a long conversation.
21505,6505,4,"Quick and easy, thanks!"
21509,6509,5,"Quick and easy, thanks!"
21510,6510,2,Issue not resolved after a long conversation.
21511,6511,3,Wait time was unacceptable.
21512,6512,3,Wait time was unacceptable.
21515,6515,5,"Quick and easy, thanks!"
21516,6516,4,"Quick and easy, thanks!"
21519,6519,2,Issue not resolved after a long conversation.
21520,6520,4,"Quick and easy, thanks!"
21522,6522,4,"Quick and easy, thanks!"
21523,6523,5,"Quick and easy, thanks!"
21525,6525,3,Wait time was unacceptable.
21527,6527,4,"Quick and easy, thanks!"
21529,6529,1,Issue not resolved after a long conversation.
21533,6533,3,Wait time was unacceptable.
21537,6537,1,Issue not resolved after a long conversation.
21543,6543,1,Issue not resolved after a long conversation.
21544,6544,1,Issue not resolved after a long conversation.
21545,6545,1,Issue not resolved after a long conversation.
21546,6546,4,"Quick and easy, thanks!"
21549,6549,4,"Quick and easy, thanks!"
21551,6551,3,Wait time was unacceptable.
21555,6555,1,Issue not resolved after a long conversation.
21559,6559,4,"Quick and easy, thanks!"
21564,6564,4,"Quick and easy, thanks!"
21565,6565,4,"Quick and easy, thanks!"
21569,6569,2,Issue not resolved after a long conversation.
21574,6574,4,"Quick and easy, thanks!"
21575,6575,4,"Quick and easy, thanks!"
21578,6578,3,Wait time was unacceptable.
21579,6579,3,Wait time was unacceptable.
21581,6581,5,"Quick and easy, thanks!"
21583,6583,5,"Quick and easy, thanks!"
21585,6585,3,Wait time was unacceptable.
21592,6592,4,"Quick and easy, thanks!"
21598,6598,5,"Quick and easy, thanks!"
21602,6602,5,"Quick and easy, thanks!"
21603,6603,1,Issue not resolved after a long conversation.
21607,6607,4,"Quick and easy, thanks!"
21608,6608,5,"Quick and easy, thanks!"
21609,6609,5,"Quick and easy, thanks!"
21615,6615,2,Issue not resolved after a long conversation.
21616,6616,3,Wait time was unacceptable.
21617,6617,2,Issue not resolved after a long conversation.
21619,6619,4,"Quick and easy, thanks!"
21621,6621,5,"Quick and easy, thanks!"
21622,6622,5,"Quick and easy, thanks!"
21628,6628,3,Wait time was unacceptable.
21631,6631,4,"Quick and easy, thanks!"
21632,6632,4,"Quick and easy, thanks!"
21633,6633,4,"Quick and easy, thanks!"
21635,6635,5,"Quick and easy, thanks!"
21637,6637,1,Issue not resolved after a long conversation.
21639,6639,4,"Quick and easy, thanks!"
