CallID,AgentID,Timestamp,WaitTime,TalkTime,HoldTime,IsResolved,CallReason
5029,123,2025-01-13 08:00:00,295,284,1,1,Technical Issue
5030,115,2025-01-30 11:00:00,454,325,47,1,Technical Issue
5031,110,2025-02-11 09:00:00,17,318,39,1,Technical Issue
5032,136,2025-02-10 19:00:00,147,225,93,1,General Inquiry
5033,154,2025-02-02 11:00:00,306,452,45,1,Billing Query
5034,104,2025-02-19 18:00:00,218,341,67,1,Cancel Service
5035,127,2025-03-01 13:00:00,140,411,91,1,Technical Issue
5036,147,2025-01-10 10:00:00,19,316,107,1,Cancel Service
5037,118,2025-01-06 14:00:00,80,385,107,1,Cancel Service
5038,106,2025-01-20 14:00:00,253,182,65,1,General Inquiry
5039,103,2025-01-09 12:00:00,479,234,66,1,General Inquiry
5040,152,2025-02-22 13:00:00,102,270,34,1,Account Access
5041,120,2025-02-28 13:00:00,37,262,79,1,General Inquiry
5042,169,2025-01-14 09:00:00,199,458,35,1,Account Access
5043,158,2025-01-01 15:00:00,326,281,14,1,Cancel Service
5044,140,2025-01-06 20:00:00,159,338,51,0,Account Access
5045,173,2025-02-11 08:00:00,335,398,118,1,Technical Issue
5046,136,2025-01-01 08:00:00,386,213,104,1,General Inquiry
5047,121,2025-01-25 14:00:00,208,343,51,0,Technical Issue
5048,171,2025-02-15 17:00:00,434,825,86,0,General Account Update
5049,158,2025-01-10 11:00:00,373,657,23,0,General Account Update
5050,100,2025-01-26 12:00:00,52,190,54,1,General Inquiry
5051,113,2025-01-15 13:00:00,285,527,74,1,Account Access
5052,106,2025-02-09 16:00:00,64,196,27,1,General Inquiry
5053,166,2025-01-01 13:00:00,386,299,17,1,Billing Query
5054,136,2025-02-19 12:00:00,173,550,86,1,Account Access
5055,176,2025-01-07 20:00:00,140,465,60,1,General Account Update
5056,159,2025-01-31 08:00:00,128,422,111,1,Billing Query
5057,146,2025-02-03 11:00:00,165,118,22,1,General Inquiry
5058,117,2025-01-10 15:00:00,205,469,28,0,Billing Query
5059,177,2025-01-23 10:00:00,195,775,73,0,General Account Update
5060,145,2025-02-20 19:00:00,379,251,28,1,Account Access
5061,104,2025-02-26 08:00:00,118,342,102,0,Account Access
5062,157,2025-01-12 13:00:00,261,292,71,1,Technical Issue
5063,106,2025-02-21 14:00:00,221,532,57,1,Technical Issue
5064,156,2025-01-25 09:00:00,398,361,46,1,Technical Issue
5065,140,2025-02-25 17:00:00,302,496,113,1,Account Access
5066,168,2025-02-07 14:00:00,65,357,30,1,Billing Query
5067,117,2025-01-13 20:00:00,322,496,99,1,Account Access
5068,124,2025-02-12 09:00:00,232,655,52,0,General Account Update
5069,131,2025-03-01 08:00:00,306,337,29,1,Cancel Service
5070,102,2025-01-13 10:00:00,474,146,115,1,General Inquiry
5071,144,2025-01-25 16:00:00,294,461,21,1,Technical Issue
5072,108,2025-02-01 11:00:00,199,761,1,0,General Account Update
5073,145,2025-02-11 13:00:00,59,399,79,1,Technical Issue
5074,103,2025-02-14 15:00:00,241,356,150,1,Technical Issue
5075,117,2025-01-29 17:00:00,244,329,12,1,Technical Issue
5076,161,2025-02-26 14:00:00,24,294,55,1,General Inquiry
5077,165,2025-01-02 11:00:00,418,242,90,0,General Inquiry
5078,155,2025-01-17 10:00:00,310,663,84,0,General Account Update
5079,103,2025-02-11 12:00:00,297,484,146,1,Account Access
5080,108,2025-01-19 08:00:00,190,124,94,1,General Inquiry
5081,144,2025-02-12 20:00:00,371,133,103,1,General Inquiry
5082,132,2025-01-06 09:00:00,381,273,3,1,General Inquiry
5083,178,2025-01-28 20:00:00,377,459,19,1,Technical Issue
5084,174,2025-02-19 20:00:00,299,459,83,1,General Account Update
5085,155,2025-02-21 19:00:00,470,318,113,1,Technical Issue
5086,166,2025-02-16 10:00:00,369,471,104,1,Account Access
5087,123,2025-01-12 15:00:00,26,430,104,1,Technical Issue
5088,149,2025-03-02 20:00:00,139,279,127,1,Cancel Service
5089,164,2025-01-12 20:00:00,75,745,97,1,General Account Update
5090,121,2025-01-08 10:00:00,206,272,70,1,Account Access
5091,174,2025-01-27 19:00:00,61,289,101,1,Billing Query
5092,134,2025-02-23 16:00:00,297,442,17,1,Account Access
5093,118,2025-01-08 19:00:00,334,350,127,1,Cancel Service
5094,131,2025-01-25 16:00:00,135,106,33,1,General Inquiry
5095,101,2025-01-15 17:00:00,381,254,81,1,Cancel Service
5096,107,2025-01-11 17:00:00,181,518,101,1,Cancel Service
5097,113,2025-01-25 11:00:00,166,335,108,1,Account Access
5098,179,2025-01-05 18:00:00,192,350,30,1,Account Access
5099,117,2025-02-28 18:00:00,373,300,27,1,Cancel Service
5100,126,2025-01-28 11:00:00,156,296,121,0,Account Access
5101,170,2025-02-23 18:00:00,75,647,92,0,General Account Update
5102,146,2025-01-16 11:00:00,196,441,132,1,Technical Issue
5103,128,2025-01-22 08:00:00,12,538,120,1,Billing Query
5104,137,2025-03-02 11:00:00,386,591,139,1,General Account Update
5105,132,2025-01-07 17:00:00,27,279,134,1,Cancel Service
5106,126,2025-02-16 19:00:00,257,510,25,1,Billing Query
5107,132,2025-02-28 18:00:00,50,459,30,1,Technical Issue
5108,129,2025-02-27 14:00:00,364,200,62,1,General Inquiry
5109,132,2025-02-13 11:00:00,429,621,83,1,General Account Update
5110,154,2025-01-22 17:00:00,419,419,41,0,Billing Query
5111,164,2025-02-23 10:00:00,154,295,111,1,Technical Issue
5112,158,2025-01-11 13:00:00,417,269,131,1,Account Access
5113,146,2025-02-03 18:00:00,425,523,86,1,Billing Query
5114,135,2025-02-22 10:00:00,256,512,10,1,Technical Issue
5115,105,2025-02-03 12:00:00,352,304,94,1,Account Access
5116,136,2025-03-01 09:00:00,320,278,122,1,General Inquiry
5117,161,2025-01-10 17:00:00,377,530,58,1,Billing Query
5118,104,2025-01-07 10:00:00,245,192,115,1,General Inquiry
5119,159,2025-02-16 16:00:00,112,803,101,0,General Account Update
5120,174,2025-02-26 17:00:00,403,511,117,1,Cancel Service
5121,136,2025-02-21 15:00:00,280,373,34,1,Billing Query
5122,122,2025-01-08 12:00:00,115,260,52,1,Technical Issue
5123,102,2025-01-20 14:00:00,47,454,132,1,Account Access
5124,149,2025-01-28 15:00:00,35,403,119,1,Billing Query
5125,146,2025-02-20 14:00:00,478,228,27,1,General Inquiry
5126,143,2025-02-19 20:00:00,340,579,81,0,General Account Update
5127,152,2025-01-25 12:00:00,217,134,133,1,General Inquiry
5128,157,2025-01-19 09:00:00,456,365,98,1,Cancel Service
5129,165,2025-01-14 11:00:00,118,225,142,1,General Inquiry
5130,137,2025-01-10 09:00:00,333,172,100,1,General Inquiry
5131,161,2025-02-01 19:00:00,258,271,104,1,Billing Query
5132,172,2025-01-14 08:00:00,311,539,50,0,General Account Update
5133,121,2025-01-15 14:00:00,70,234,0,1,General Inquiry
5134,153,2025-02-08 20:00:00,305,532,103,1,Technical Issue
5135,123,2025-01-06 20:00:00,53,168,103,1,General Inquiry
5136,120,2025-02-14 12:00:00,330,576,116,0,General Account Update
5137,130,2025-02-14 11:00:00,317,368,81,1,Technical Issue
5138,167,2025-01-28 10:00:00,124,543,135,1,Cancel Service
5139,169,2025-02-02 10:00:00,268,464,72,1,Billing Query
5140,127,2025-01-13 09:00:00,309,303,142,1,Account Access
5141,167,2025-02-08 13:00:00,79,433,2,1,Cancel Service
5142,135,2025-02-01 19:00:00,467,739,94,1,General Account Update
5143,134,2025-01-20 09:00:00,129,247,58,1,General Inquiry
5144,160,2025-02-22 11:00:00,499,243,148,1,General Inquiry
5145,135,2025-01-29 17:00:00,302,372,19,1,Technical Issue
5146,115,2025-01-10 17:00:00,226,502,94,0,Billing Query
5147,152,2025-02-06 15:00:00,271,498,85,1,General Account Update
5148,156,2025-02-24 19:00:00,86,506,105,1,Technical Issue
5149,100,2025-01-22 10:00:00,51,353,87,1,Cancel Service
5150,140,2025-01-19 13:00:00,153,463,130,1,Technical Issue
5151,167,2025-02-08 18:00:00,418,758,116,1,General Account Update
5152,111,2025-02-08 11:00:00,71,502,138,1,General Account Update
5153,173,2025-01-30 11:00:00,367,589,117,0,General Account Update
5154,141,2025-02-01 14:00:00,324,279,133,1,General Inquiry
5155,136,2025-02-14 10:00:00,275,390,113,1,Cancel Service
5156,131,2025-01-21 18:00:00,444,329,57,1,Cancel Service
5157,154,2025-01-02 18:00:00,321,428,32,1,Technical Issue
5158,105,2025-01-02 20:00:00,297,508,17,1,Technical Issue
5159,112,2025-02-19 09:00:00,260,336,84,1,Cancel Service
5160,102,2025-02-23 10:00:00,119,319,73,1,Account Access
5161,161,2025-01-11 14:00:00,416,280,117,1,Technical Issue
5162,101,2025-01-11 20:00:00,473,509,111,0,Technical Issue
5163,126,2025-01-30 10:00:00,277,387,119,1,Cancel Service
5164,117,2025-01-05 08:00:00,137,295,17,1,Technical Issue
5165,134,2025-01-19 18:00:00,418,366,130,1,Cancel Service
5166,172,2025-02-18 13:00:00,93,298,110,1,General Inquiry
5167,144,2025-02-02 14:00:00,425,535,85,0,Billing Query
5168,170,2025-01-29 10:00:00,437,281,109,1,General Inquiry
5169,163,2025-02-17 19:00:00,380,322,80,1,Technical Issue
5170,105,2025-02-06 12:00:00,296,336,50,1,Billing Query
5171,173,2025-02-25 10:00:00,64,455,49,1,Account Access
5172,100,2025-01-29 11:00:00,400,561,17,0,General Account Update
5173,173,2025-01-02 12:00:00,307,241,122,1,General Inquiry
5174,176,2025-02-16 18:00:00,243,337,97,0,Technical Issue
5175,118,2025-02-13 12:00:00,170,523,117,1,Technical Issue
5176,174,2025-01-28 19:00:00,404,549,136,0,General Account Update
5177,112,2025-01-25 14:00:00,191,343,30,0,Account Access
5178,179,2025-02-03 14:00:00,280,128,27,1,General Inquiry
5179,172,2025-01-01 09:00:00,398,288,21,1,General Inquiry
5180,175,2025-02-11 11:00:00,50,730,107,1,General Account Update
5181,168,2025-02-15 10:00:00,460,626,57,0,General Account Update
5182,100,2025-02-23 10:00:00,324,391,109,1,Account Access
5183,171,2025-02-09 14:00:00,103,365,100,0,Technical Issue
5184,151,2025-02-23 09:00:00,66,456,38,1,Billing Query
5185,120,2025-01-25 16:00:00,155,151,3,1,General Inquiry
5186,156,2025-01-05 14:00:00,196,763,86,0,General Account Update
5187,179,2025-01-30 10:00:00,130,104,78,1,General Inquiry
5188,105,2025-02-03 14:00:00,396,686,11,1,General Account Update
5189,159,2025-01-27 18:00:00,60,500,43,1,Account Access
5190,178,2025-01-01 12:00:00,341,133,143,1,General Inquiry
5191,143,2025-02-24 13:00:00,423,347,60,1,Billing Query
5192,179,2025-02-21 12:00:00,267,149,62,1,General Inquiry
5193,173,2025-01-04 09:00:00,339,366,29,1,Technical Issue
5194,153,2025-02-03 08:00:00,314,301,111,1,General Inquiry
5195,167,2025-01-20 09:00:00,31,194,120,1,General Inquiry
5196,169,2025-02-25 09:00:00,488,590,48,1,General Account Update
5197,152,2025-02-25 14:00:00,288,443,137,1,Cancel Service
5198,123,2025-01-07 13:00:00,12,320,138,0,Cancel Service
5199,159,2025-01-12 08:00:00,277,540,67,0,General Account Update
5200,161,2025-02-18 17:00:00,363,419,88,1,Billing Query
5201,132,2025-02-14 17:00:00,462,374,12,1,Billing Query
5202,114,2025-01-13 14:00:00,235,475,92,1,Cancel Service
5203,145,2025-01-24 20:00:00,269,732,131,0,General Account Update
5204,102,2025-01-28 20:00:00,281,261,96,1,Cancel Service
5205,109,2025-01-19 18:00:00,117,523,13,1,Account Access
5206,153,2025-02-02 11:00:00,175,687,114,1,Account Access
5207,154,2025-01-20 20:00:00,107,309,108,1,Account Access
5208,129,2025-02-01 11:00:00,167,514,125,1,General Account Update
5209,154,2025-02-09 16:00:00,281,108,25,1,General Inquiry
5210,129,2025-01-15 09:00:00,167,343,39,1,Cancel Service
5211,172,2025-01-01 16:00:00,276,319,96,1,Account Access
5212,123,2025-02-17 16:00:00,191,346,66,0,Billing Query
5213,131,2025-02-17 12:00:00,288,409,39,0,Technical Issue
5214,168,2025-01-24 17:00:00,332,362,89,1,Billing Query
5215,147,2025-02-24 09:00:00,171,209,40,0,General Inquiry
5216,139,2025-01-16 09:00:00,368,751,77,0,General Account Update
5217,156,2025-02-28 13:00:00,216,806,117,1,General Account Update
5218,118,2025-02-19 12:00:00,383,352,143,1,Billing Query
5219,147,2025-01-24 14:00:00,165,403,61,1,Technical Issue
5220,102,2025-01-28 09:00:00,216,496,94,1,General Account Update
5221,179,2025-02-02 08:00:00,150,242,97,1,General Inquiry
5222,102,2025-01-08 17:00:00,331,278,136,0,Cancel Service
5223,162,2025-01-02 12:00:00,457,388,11,0,Billing Query
5224,129,2025-02-10 09:00:00,298,558,11,0,General Account Update
5225,175,2025-01-03 12:00:00,243,564,124,0,General Account Update
5226,158,2025-01-19 11:00:00,17,470,46,1,Technical Issue
5227,174,2025-01-23 17:00:00,362,508,113,1,Account Access
5228,143,2025-02-15 11:00:00,286,337,149,0,Billing Query
5229,175,2025-02-25 16:00:00,441,423,148,1,Technical Issue
5230,147,2025-03-02 16:00:00,380,334,40,1,Technical Issue
5231,109,2025-01-16 15:00:00,36,136,82,1,General Inquiry
5232,138,2025-01-16 19:00:00,89,524,40,0,Cancel Service
5233,146,2025-02-21 19:00:00,70,483,147,1,Technical Issue
5234,104,2025-01-16 10:00:00,350,213,85,1,General Inquiry
5235,137,2025-01-17 18:00:00,219,540,48,1,Technical Issue
5236,159,2025-01-04 09:00:00,153,426,89,1,Billing Query
5237,128,2025-01-27 14:00:00,402,445,60,0,Technical Issue
5238,154,2025-02-17 16:00:00,265,317,99,1,Cancel Service
5239,177,2025-01-02 20:00:00,264,595,8,0,General Account Update
5240,166,2025-01-08 15:00:00,14,333,79,1,Cancel Service
5241,168,2025-01-03 20:00:00,303,262,84,1,Account Access
5242,121,2025-01-21 12:00:00,132,651,43,1,General Account Update
5243,143,2025-01-25 20:00:00,145,478,129,0,Account Access
5244,139,2025-02-17 19:00:00,194,159,74,1,General Inquiry
5245,150,2025-01-23 16:00:00,451,452,44,1,Billing Query
5246,140,2025-01-10 12:00:00,268,396,52,0,Billing Query
5247,141,2025-01-20 14:00:00,51,413,63,1,Billing Query
5248,149,2025-01-12 12:00:00,57,467,62,0,General Account Update
5249,155,2025-01-03 17:00:00,444,532,93,1,Billing Query
5250,160,2025-01-31 14:00:00,300,490,139,1,Account Access
5251,170,2025-02-15 09:00:00,235,439,95,1,Account Access
5252,140,2025-01-31 18:00:00,232,447,83,1,Technical Issue
5253,158,2025-01-24 18:00:00,475,317,39,1,Billing Query
5254,114,2025-02-24 10:00:00,53,470,33,1,Technical Issue
5255,178,2025-01-04 14:00:00,277,547,43,1,Billing Query
5256,140,2025-02-20 11:00:00,413,263,10,1,General Inquiry
5257,119,2025-01-29 18:00:00,52,509,67,0,Technical Issue
5258,122,2025-01-28 10:00:00,250,491,52,0,General Account Update
5259,163,2025-02-11 09:00:00,306,266,69,1,General Inquiry
5260,162,2025-01-04 13:00:00,22,500,86,1,Cancel Service
5261,141,2025-02-17 18:00:00,172,236,78,1,General Inquiry
5262,151,2025-01-07 19:00:00,204,285,17,1,Billing Query
5263,174,2025-01-24 11:00:00,165,466,25,1,Billing Query
5264,178,2025-02-23 15:00:00,107,840,142,0,General Account Update
5265,142,2025-02-26 16:00:00,498,554,148,0,General Account Update
5266,136,2025-01-10 18:00:00,328,518,54,0,Technical Issue
5267,167,2025-02-03 19:00:00,239,290,49,1,Cancel Service
5268,101,2025-02-26 20:00:00,436,406,63,1,Account Access
5269,143,2025-02-13 18:00:00,374,466,147,1,Technical Issue
5270,172,2025-01-14 09:00:00,229,503,4,1,Billing Query
5271,174,2025-01-15 08:00:00,246,260,43,1,Technical Issue
5272,114,2025-01-12 12:00:00,349,359,129,1,Cancel Service
5273,175,2025-02-06 18:00:00,130,168,73,1,General Inquiry
5274,121,2025-02-02 14:00:00,103,264,58,1,General Inquiry
5275,106,2025-01-15 16:00:00,368,332,136,0,Account Access
5276,132,2025-02-06 14:00:00,225,373,126,1,Billing Query
5277,166,2025-03-02 14:00:00,357,780,2,0,General Account Update
5278,163,2025-01-15 19:00:00,24,439,143,1,Cancel Service
5279,127,2025-02-10 17:00:00,295,563,96,0,General Account Update
5280,113,2025-01-13 19:00:00,377,499,102,1,Technical Issue
5281,121,2025-02-23 10:00:00,405,335,61,0,Billing Query
5282,129,2025-02-11 11:00:00,134,269,30,0,Technical Issue
5283,176,2025-02-08 20:00:00,332,150,78,1,General Inquiry
5284,158,2025-02-21 17:00:00,332,550,117,1,Cancel Service
5285,121,2025-03-01 12:00:00,187,115,142,0,General Inquiry
5286,165,2025-01-14 19:00:00,309,547,54,1,Cancel Service
5287,126,2025-02-21 13:00:00,256,626,114,1,General Account Update
5288,146,2025-02-12 08:00:00,246,544,53,1,Account Access
5289,151,2025-02-07 18:00:00,376,361,74,1,Cancel Service
5290,141,2025-02-20 13:00:00,234,348,10,1,Account Access
5291,148,2025-02-24 09:00:00,255,413,130,0,Cancel Service
5292,133,2025-02-11 10:00:00,213,514,12,1,Billing Query
5293,130,2025-02-02 11:00:00,479,535,17,1,Billing Query
5294,118,2025-01-05 14:00:00,405,257,14,1,General Inquiry
5295,143,2025-02-25 13:00:00,63,257,65,1,Technical Issue
5296,131,2025-03-01 11:00:00,415,250,104,1,Account Access
5297,175,2025-01-30 17:00:00,13,134,52,1,General Inquiry
5298,128,2025-01-06 10:00:00,107,390,38,1,Technical Issue
5299,147,2025-02-04 11:00:00,256,415,117,1,Cancel Service
5300,114,2025-01-05 10:00:00,283,385,104,1,Cancel Service
5301,169,2025-01-17 10:00:00,254,506,101,0,Account Access
5302,107,2025-02-06 17:00:00,393,511,16,1,Account Access
5303,107,2025-01-20 20:00:00,265,615,131,0,Account Access
5304,143,2025-01-22 11:00:00,153,256,11,1,General Inquiry
5305,108,2025-01-29 12:00:00,329,277,121,1,Technical Issue
5306,140,2025-02-17 15:00:00,407,653,44,0,General Account Update
5307,154,2025-01-02 10:00:00,254,398,63,1,Technical Issue
5308,101,2025-02-16 15:00:00,68,277,103,1,General Inquiry
5309,136,2025-02-04 18:00:00,88,314,66,1,Technical Issue
5310,129,2025-01-10 18:00:00,431,462,124,1,General Account Update
5311,113,2025-02-24 10:00:00,177,515,115,1,Billing Query
5312,172,2025-01-24 13:00:00,398,327,23,1,Cancel Service
5313,165,2025-01-29 11:00:00,419,782,58,0,General Account Update
5314,159,2025-01-21 11:00:00,326,629,13,1,General Account Update
5315,169,2025-02-10 08:00:00,267,269,73,1,Billing Query
5316,133,2025-02-14 18:00:00,171,117,87,1,General Inquiry
5317,172,2025-01-01 14:00:00,240,633,29,0,General Account Update
5318,161,2025-01-20 20:00:00,243,491,72,1,Cancel Service
5319,171,2025-02-04 11:00:00,306,326,104,1,Technical Issue
5320,146,2025-01-11 16:00:00,480,335,107,1,Technical Issue
5321,150,2025-01-02 14:00:00,327,276,117,1,Account Access
5322,134,2025-01-03 11:00:00,188,275,109,1,Account Access
5323,133,2025-02-24 16:00:00,84,468,13,0,General Account Update
5324,103,2025-02-08 09:00:00,489,316,136,1,Cancel Service
5325,149,2025-01-19 10:00:00,210,455,147,0,General Account Update
5326,177,2025-01-29 18:00:00,229,278,15,1,Cancel Service
5327,165,2025-01-30 16:00:00,426,558,71,0,General Account Update
5328,119,2025-03-02 10:00:00,248,459,130,1,Technical Issue
5329,131,2025-02-15 11:00:00,172,545,148,0,Cancel Service
5330,112,2025-01-28 10:00:00,114,271,93,1,Billing Query
5331,105,2025-02-03 09:00:00,389,437,54,1,Technical Issue
5332,102,2025-02-14 18:00:00,343,333,144,1,Account Access
5333,159,2025-02-15 17:00:00,156,369,113,1,Account Access
5334,123,2025-01-25 11:00:00,55,544,102,1,Account Access
5335,174,2025-01-21 16:00:00,57,517,114,1,Technical Issue
5336,125,2025-01-22 15:00:00,463,414,80,1,Account Access
5337,136,2025-01-18 20:00:00,424,426,39,1,Technical Issue
5338,176,2025-01-04 16:00:00,140,691,7,1,General Account Update
5339,103,2025-02-21 19:00:00,228,523,22,0,Technical Issue
5340,158,2025-01-06 15:00:00,477,460,59,1,Cancel Service
5341,124,2025-03-01 08:00:00,133,191,58,1,General Inquiry
5342,133,2025-01-25 17:00:00,436,391,146,1,Technical Issue
5343,166,2025-02-02 17:00:00,25,318,57,1,Account Access
5344,174,2025-01-31 17:00:00,102,266,84,1,Account Access
5345,123,2025-02-22 11:00:00,370,573,102,0,General Account Update
5346,147,2025-01-29 13:00:00,71,269,72,0,Billing Query
5347,150,2025-01-01 18:00:00,85,516,108,0,Billing Query
5348,133,2025-01-22 12:00:00,436,769,67,0,General Account Update
5349,171,2025-02-19 14:00:00,152,470,22,1,Technical Issue
5350,141,2025-01-02 08:00:00,419,284,65,1,Cancel Service
5351,115,2025-02-25 11:00:00,43,418,150,1,Account Access
5352,121,2025-01-08 17:00:00,14,236,133,1,General Inquiry
5353,106,2025-01-18 20:00:00,125,252,56,1,Billing Query
5354,127,2025-02-15 08:00:00,273,360,92,0,Technical Issue
5355,138,2025-01-07 19:00:00,113,688,135,1,General Account Update
5356,108,2025-02-16 13:00:00,73,504,50,1,Billing Query
5357,168,2025-01-11 19:00:00,283,170,76,1,General Inquiry
5358,168,2025-02-25 08:00:00,27,388,51,1,Billing Query
5359,135,2025-01-15 14:00:00,235,341,14,1,Account Access
5360,164,2025-01-13 12:00:00,332,312,61,1,Cancel Service
5361,129,2025-02-04 19:00:00,384,359,106,1,Account Access
5362,141,2025-02-28 17:00:00,237,806,52,1,General Account Update
5363,106,2025-01-16 08:00:00,373,199,57,1,General Inquiry
5364,163,2025-02-22 15:00:00,39,282,111,1,General Inquiry
5365,171,2025-02-17 18:00:00,307,151,111,1,General Inquiry
5366,144,2025-02-28 20:00:00,64,258,36,0,Account Access
5367,114,2025-01-15 20:00:00,28,378,65,0,Technical Issue
5368,175,2025-02-28 09:00:00,354,208,38,1,General Inquiry
5369,166,2025-02-07 18:00:00,229,251,126,1,Account Access
5370,108,2025-02-20 15:00:00,160,446,10,1,Technical Issue
5371,148,2025-01-17 16:00:00,342,258,91,1,General Inquiry
5372,167,2025-03-02 16:00:00,486,345,63,1,Billing Query
5373,136,2025-01-08 10:00:00,195,161,112,1,General Inquiry
5374,156,2025-02-11 13:00:00,275,499,9,0,General Account Update
5375,118,2025-01-07 20:00:00,181,762,98,0,General Account Update
5376,105,2025-02-23 16:00:00,264,247,129,1,General Inquiry
5377,174,2025-01-13 09:00:00,104,442,108,1,Cancel Service
5378,101,2025-02-09 15:00:00,212,845,145,0,General Account Update
5379,175,2025-02-12 17:00:00,44,533,104,1,Account Access
5380,149,2025-03-02 20:00:00,36,272,73,1,Technical Issue
5381,143,2025-02-27 20:00:00,195,813,60,0,General Account Update
5382,174,2025-01-21 17:00:00,139,209,120,1,General Inquiry
5383,123,2025-02-17 18:00:00,198,133,89,1,General Inquiry
5384,128,2025-03-01 18:00:00,24,620,72,1,General Account Update
5385,165,2025-02-18 11:00:00,225,347,3,0,Cancel Service
5386,102,2025-02-07 16:00:00,269,747,72,0,General Account Update
5387,109,2025-02-25 15:00:00,346,285,100,1,General Inquiry
5388,118,2025-02-22 19:00:00,379,343,36,1,Account Access
5389,141,2025-01-13 10:00:00,407,197,108,1,General Inquiry
5390,128,2025-01-08 14:00:00,96,545,129,1,Technical Issue
5391,152,2025-01-29 15:00:00,204,107,150,0,General Inquiry
5392,127,2025-02-26 16:00:00,206,356,143,1,Account Access
5393,114,2025-01-12 10:00:00,130,471,75,1,Account Access
5394,127,2025-02-04 15:00:00,335,523,35,0,General Account Update
5395,115,2025-02-01 10:00:00,160,217,22,1,General Inquiry
5396,161,2025-01-03 12:00:00,188,308,55,1,Billing Query
5397,155,2025-01-08 12:00:00,68,202,108,1,General Inquiry
5398,105,2025-01-23 13:00:00,202,697,58,0,General Account Update
5399,121,2025-02-09 13:00:00,333,468,19,1,Technical Issue
5400,111,2025-01-09 16:00:00,97,530,122,0,General Account Update
5401,166,2025-02-16 10:00:00,259,501,16,1,Billing Query
5402,110,2025-01-29 12:00:00,356,449,73,1,Technical Issue
5403,145,2025-02-25 08:00:00,30,435,56,1,Account Access
5404,140,2025-02-05 16:00:00,349,543,51,1,Account Access
5405,178,2025-02-27 12:00:00,487,331,135,1,Billing Query
5406,148,2025-02-03 13:00:00,466,284,11,0,General Inquiry
5407,136,2025-01-01 17:00:00,104,531,122,0,Billing Query
5408,109,2025-02-05 18:00:00,298,343,139,1,General Inquiry
5409,166,2025-02-16 14:00:00,439,816,9,1,General Account Update
5410,170,2025-01-06 08:00:00,457,422,80,1,Account Access
5411,152,2025-02-17 17:00:00,289,314,114,1,Cancel Service
5412,111,2025-01-31 16:00:00,300,429,20,1,Technical Issue
5413,103,2025-02-18 10:00:00,93,808,63,1,General Account Update
5414,108,2025-01-02 10:00:00,46,168,43,1,General Inquiry
5415,116,2025-01-21 20:00:00,376,263,70,1,Technical Issue
5416,164,2025-02-23 14:00:00,446,329,102,1,Account Access
5417,139,2025-01-09 20:00:00,444,434,81,1,Cancel Service
5418,104,2025-01-05 16:00:00,62,334,33,1,Billing Query
5419,161,2025-02-23 15:00:00,72,165,120,1,General Inquiry
5420,102,2025-01-28 12:00:00,498,252,150,0,Cancel Service
5421,144,2025-01-03 08:00:00,131,442,75,1,Technical Issue
5422,131,2025-03-01 15:00:00,252,527,53,0,General Account Update
5423,178,2025-01-13 14:00:00,294,111,27,1,General Inquiry
5424,123,2025-01-30 15:00:00,489,348,59,1,Technical Issue
5425,178,2025-02-15 09:00:00,370,212,110,1,General Inquiry
5426,101,2025-01-27 11:00:00,184,265,8,1,General Inquiry
5427,159,2025-01-27 09:00:00,30,624,2,0,General Account Update
5428,153,2025-01-01 12:00:00,363,812,12,0,General Account Update
